Active or Inactive Business,Tax Type,Retail Permit Number,Consolidated Number,Name of Business,Address of the Business,State,County Name,Registration County Number,Business Location County Number,Department City Code,City Location of Business,Business Zip Code,NAICS code,Description of type of NAICS code,Date Permit was Issued,Date Permit was Cancelled
Active,Retail Sales,110006104,,"BONTRAGER, DAVID W; COUNTRY FARM SUPPLY",1617 130TH ST,IA,Buchanan,10.0,10,4.0,HAZLETON,50641-9665,423820.0,Farm and Garden Machinery and Equipment Merchant Wholesalers,1992-03-11T00:00:00.000,
Inactive,Retail Sales,309100313,309100313,"US HOUSING COMPONENTS; USHC, LLC",PO BOX 428,KY,,0.0,0,,BUCKNER,40010-0428,321992.0,Prefabricated Wood Building Manufacturing,2018-11-01T00:00:00.000,2025-04-30T00:00:00.000
Active,Retail Sales,304102725,304102725,"MUELLER, COURTNEY",2920 YORDI DR,IA,Warren,91.0,91,3.0,NORWALK,50211-1372,,,2024-10-01T00:00:00.000,
Active,Retail Sales,117017814,,PIER GENIUS INC,346 HOWARD AVE,IA,Hancock,17.0,41,8.0,WODEN,50484-7735,4543.0,Direct Selling Establishments,2007-06-01T00:00:00.000,
Active,Retail Sales,307807510,307807310,"DESHAZO LLC, CORPORATE",200 KILSBY CIR,AL,,0.0,0,,BESSEMER,35022-4062,333922.0,Conveyor and Conveying Equipment Manufacturing,2022-11-28T00:00:00.000,
Active,Retail Sales,304507811,304507711,DRUNKEN DART STUDIOS LLC,2807 S CORAL ST,IA,Woodbury,97.0,97,1.0,SIOUX CITY,51106-3333,,,2022-01-07T00:00:00.000,
Active,Retail Sales,125011631,,"JANSSEN, SHARI; SLJ DISTRIBUTING",17495 U AVE,IA,Dallas,25.0,25,7.0,WOODWARD,50276-6066,4471.0,Gasoline Stations,2004-04-01T00:00:00.000,
Active,Retail Sales,100016120,,WITTENSTEIN INC,1249 HUMBRACHT CIR,IL,,33.0,0,,BARTLETT,60103-1606,4238.0,"Machinery, Equipment, and Supplies Merchant Wholesalers",2021-04-01T00:00:00.000,
Active,Retail Sales,301202927,301202827,"POLLOCK, DAVID; HANDYMAN",2900 MIDDLE RD BLDG 1802,IA,Scott,82.0,82,2.0,BETTENDORF,52722-3235,236118.0,Residential Remodelers,2023-12-10T00:00:00.000,
Active,Retail Sales,309004216,309004216,"CARRIE'S CREATIONS; GEORGE-MOSLEY, CARRIE S",501 LIBERTY ST,IA,Muscatine,70.0,70,1.0,MUSCATINE,52761-1835,,,2023-05-10T00:00:00.000,
Active,Retail Sales,304300214,304300114,"FAIRFAX STORAGE LLC, FAIRFAX STORAGE",70 WILLIAMS BLVD,IA,Linn,57.0,57,9.0,FAIRFAX,52228-9532,531130.0,Lessors of Miniwarehouses and Self-Storage Units,2022-01-01T00:00:00.000,
Active,Retail Sales,S00126625,S00126625,DELTA STEEL INC,7355 ROUNDHOUSE LN,TX,,0.0,0,,HOUSTON,77078-4528,423910.0,Sporting and Recreational Goods and Supplies Merchant Wholesalers,2019-07-31T00:00:00.000,
Active,Retail Sales,177133298,,"SCHMITT, WILLIAM; PRAIRIE LIFE TEA COMPANY",1145 24TH ST UNIT 3,IA,Polk,77.0,77,1.0,DES MOINES,50311-0000,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2021-05-12T00:00:00.000,
Active,Retail Sales,100005714,,COVERCRAFT INDUSTRIES LLC,100 ENTERPRISE BLVD,OK,,44.0,0,,PAULS VALLEY,73075-0000,314.0,Textile Product Mills,2019-07-11T00:00:00.000,
Inactive,Remote Sales,200182212,200182212,SPARTAN ACQUISITION LLC,1 HENKEL WAY,CT,,0.0,0,,ROCKY HILL,06067-3581,,,2019-01-01T00:00:00.000,2024-12-31T00:00:00.000
Active,Retail Sales,197030952,,LOOMIS ARMORED US INC,700 NEBRASKA ST,IA,Woodbury,97.0,97,1.0,SIOUX CITY,51101-1104,5616.0,Investigation and Security Services,1997-01-24T00:00:00.000,
Active,Retail Sales,129015135,,"ROLLING MEADOWS PUPPIES LLC, ROLLING MEADOWS PUPPIES",14732 DMC HIGHWAY 99,IA,Des Moines,29.0,29,1.0,BURLINGTON,52601-9159,4543.0,Direct Selling Establishments,2018-01-01T00:00:00.000,
Inactive,Remote Sales,200175761,200175761,WIKA INSTRUMENT LP,1000 WIEGAND BLVD,GA,,0.0,0,,LAWRENCEVILLE,30043-5868,3399.0,Other Miscellaneous Manufacturing,2017-04-01T00:00:00.000,2020-06-30T00:00:00.000
Active,Retail Sales,308108523,308108223,AQUA FINISH LLC,8605 Q ST,NE,,0.0,0,,OMAHA,68127-3673,423850.0,Service Establishment Equipment and Supplies Merchant Wholesalers,2025-09-01T00:00:00.000,
Active,Retail Sales,197038704,,"HOPE REDEMPTION CENTER, CAN REDEMPTION",2801 CORRECTIONVILLE RD,IA,Woodbury,97.0,97,1.0,SIOUX CITY,51105-0000,,,2020-07-01T00:00:00.000,
Active,Retail Sales,178025753,,JP LUMBER INC,402 LINDEN ST,IA,Pottawattamie,78.0,78,4.0,OAKLAND,51560-4185,444140.0,Hardware Retailers,2015-01-01T00:00:00.000,
Inactive,Retail Sales,187003206,,"BORLAND, JOHN W; JOHNS SAW SHOP",300 W ILLINOIS ST,IA,Taylor,87.0,87,2.0,LENOX,50851-1216,8113.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main,1981-09-08T00:00:00.000,2020-12-31T00:00:00.000
Inactive,Remote Sales,200164895,200164895,NEXTGEN SECURITY LLC,770 PENNSYLVANIA DR,PA,,0.0,0,,EXTON,19341-1186,5616.0,Investigation and Security Services,2013-03-01T00:00:00.000,2013-03-01T00:00:00.000
Inactive,Retail Sales,159004587,,"WRIGHT, CASSIDEE; PARKS,CASSIDEE B",1402 COURT AVE,IA,Lucas,59.0,59,1.0,CHARITON,50049-1935,4461.0,Health and Personal Care Stores,2020-05-15T00:00:00.000,2023-02-02T00:00:00.000
Inactive,Retail Sales,650503426,,"CALDWELL, ROCELLA M; CALDWELL,ROCELLA M",321 N 2ND AVE E,IA,Jasper,50.0,50,1.0,NEWTON,50208-3245,,,1999-04-21T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Retail Sales,S00238885,S00238885,PRICE PLACE HOLDINGS LLC,5101 MCCLANAHAN DR,AR,,0.0,0,,NORTH LITTLE ROCK,72116-7052,4481.0,Clothing Stores,2021-10-01T00:00:00.000,2025-10-31T00:00:00.000
Active,Retail Sales,104005649,,"WALKER, RANDALL S; WALKER WELDING",1110 S 21ST ST,IA,Appanoose,4.0,4,1.0,CENTERVILLE,52544-2752,8113.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main,1986-09-02T00:00:00.000,
Active,Retail Sales,111008999,,TREPSON FOUNDATION,1215 W 6TH ST,IA,Buena Vista,11.0,11,1.0,STORM LAKE,50588-2909,6241.0,Individual and Family Services,2019-03-25T00:00:00.000,
Active,Retail Sales,192009168,502,"SIGOURNEY TRACTOR & IMPLEMENT, SINCLAIR TRACTOR",1409 E AVE,IA,Washington,54.0,92,2.0,KALONA,52247-9778,424910.0,Farm Supplies Merchant Wholesalers,2019-06-01T00:00:00.000,
Active,Retail Sales,100013188,,DESIGN SUPPLY DOORS LLC,6800 E TRUMAN RD,MO,,30.0,0,,KANSAS CITY,64126-2604,423820.0,Farm and Garden Machinery and Equipment Merchant Wholesalers,2021-01-01T00:00:00.000,
Inactive,Retail Sales,131012449,,HOLY TRINITY CHURCH,211 W MAIN STREET,IA,Dubuque,31.0,31,15.0,NEW VIENNA,52065-0000,7139.0,Other Amusement and Recreation Industries,1978-08-01T00:00:00.000,2026-01-12T00:00:00.000
Active,Retail Sales,307707216,808,"PREMIUM BRANDS OPCO LLC, LOFT",739 BASS PRO DR STE 560,IA,Polk,0.0,77,4.0,ALTOONA,50009-7619,4481.0,Clothing Stores,2020-12-23T00:00:00.000,
Active,Retail Sales,100002046,,CONTECH MANUFACTURING INC,67079 170TH AVE,MN,,23.0,0,,DODGE CENTER,55927-7872,424950.0,"Paint, Varnish, and Supplies Merchant Wholesalers",2019-01-01T00:00:00.000,
Inactive,Consumer Use,957004254,957004254,"ENTERPRISE RENT-A-CAR; ENTERPRISE RENT-A-CAR COMPANY - MIDWEST, LLC",4722 FOREST GROVE DR,IA,,57.0,57,,BETTENDORF,52722-5919,237210.0,Land Subdivision,2016-11-01T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,304004720,304004720,MOON SHOP LLC,8 THE GRN STE 6507,DE,,0.0,0,,DOVER,19901-3618,455219.0,All Other General Merchandise Retailers,2022-02-08T00:00:00.000,
Active,Retail Sales,177106024,,MISFITZ SALON INC,2715 86TH ST,IA,Polk,77.0,77,3.0,URBANDALE,50322-4336,812112.0,Beauty Salons,2004-08-16T00:00:00.000,
Active,Retail Sales,150012225,,TRENZ INC,121 1ST AVE E,IA,Jasper,50.0,50,1.0,NEWTON,50208-3715,812112.0,Beauty Salons,2008-06-30T00:00:00.000,
Inactive,Retail Sales,100002787,,THOMAS ZANDSTRA,216 W MAIN ST APT 6,MI,,0.0,0,,LOWELL,49331-1780,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2019-02-01T00:00:00.000,2019-02-01T00:00:00.000
Active,Retail Sales,309408029,309408029,MOVE UP IMAGES LLC,6069 MAPLE ST,NE,,0.0,0,,OMAHA,68104-4050,5419.0,"Other Professional, Scientific, and Technical Services",2024-01-01T00:00:00.000,
Active,Retail Sales,300800027,300800027,CHXRLES LTD,1887 WHITNEY MESA DR # 9191,NV,,0.0,0,,HENDERSON,89014-2069,,,2022-10-23T00:00:00.000,
Inactive,Retail Sales,631518564,,"HELLE, RONALD F; HELLE,RONALD F",2608 HACIENDA DR,IA,Dubuque,31.0,31,1.0,DUBUQUE,52002-2700,,,2012-02-08T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Consumer Use,941000412,941000412,STOHR CONSTRUCTION LLC,2950 BIRCH AVE,IA,Hancock,41.0,41,8.0,WODEN,50484-8523,237210.0,Land Subdivision,2009-08-01T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,108010337,,SEASONAL SERVICES INC,709 10TH ST,IA,Boone,8.0,8,1.0,BOONE,50036-2716,811430.0,Footwear and Leather Goods Repair,2016-09-22T00:00:00.000,
Active,Consumer Use,922000561,922000561,"HARTIG DRUG COMPANY, HARTIG DRUG 30",703 MAIN ST,IA,,22.0,22,,DUBUQUE,52001-6814,4461.0,Health and Personal Care Stores,2017-05-01T00:00:00.000,
Active,Retail Sales,308704127,308704027,"NATURAL HEALTH & WELLNESS, LLC; NATURAL HEALTH & WELLNESS",1111 N JEFFERSON ST,IA,Wapello,90.0,90,1.0,OTTUMWA,52501-2018,456199.0,All Other Health and Personal Care Retailers,2025-11-01T00:00:00.000,
Active,Remote Sales,200184884,200184884,KROGER FULFILLMENT NETWORK LLC,PO BOX 305103,TN,,0.0,0,,NASHVILLE,37230-5103,5612.0,Facilities Support Services,2021-02-01T00:00:00.000,
Inactive,Consumer Use,931002319,931002319,"HOTEL DUBUQUE MASTER TENANT LLC, NOVELTY IRON WORKS",333 E 10TH ST,IA,Dubuque,31.0,31,1.0,DUBUQUE,52001-7666,7211.0,Traveler Accommodation,2019-06-01T00:00:00.000,2021-12-31T00:00:00.000
Inactive,Retail Sales,152026186,,"IOWA HICKORY LLC, MOSLEYS, MOSLEY'S",125 E ZELLER STE B,IA,Johnson,52.0,52,8.0,NORTH LIBERTY,52317-0000,722511.0,Full-Service Restaurants,2018-12-01T00:00:00.000,2023-12-31T00:00:00.000
Active,Retail Sales,152024443,,"KANE, CASEY P; BRIGHT DESIGNS LLC",725 ONE HALF WALKER CIR,IA,Johnson,52.0,52,1.0,IOWA CITY,52245-0000,4539.0,Other Miscellaneous Store Retailers,2014-11-14T00:00:00.000,
Inactive,Retail Sales,303008410,303008310,"EINNOB EARTH ESSENTIAL; CRAWFORD, BONNIE; HOME",305 N WINTER ST,IA,Mitchell,0.0,66,2.0,ST. ANSGAR,50472-9603,,,2021-12-15T00:00:00.000,2025-12-26T00:00:00.000
Active,Retail Sales,304606121,304606021,"THE CUBIC MILE CLUB LLC, HEADQUARTERS",1199 113RD ST,IA,,63.0,62,,PELLA,50219-8007,,,2024-10-01T00:00:00.000,
Active,Retail Sales,107039499,,"IKANOVIC, SEAD; SEADS PAINTING WALLPAPERING",1627 LOCKE AVE,IA,Black Hawk,7.0,7,1.0,WATERLOO,50702-2608,238320.0,Painting and Wall Covering Contractors,2010-10-01T00:00:00.000,
Inactive,Retail Sales,135004466,,"SANDERS, RANDALL D; NORTH SLOPE CHRISTMAS TREES",1758 115 ST RR 1,IA,Franklin,35.0,35,7.0,GENEVA,50633-0000,424990.0,Other Miscellaneous Nondurable Goods Merchant Wholesalers,1993-11-25T00:00:00.000,2023-03-23T00:00:00.000
Inactive,Retail Sales,304604013,304604013,MAY-MOON MAGIC L.L.C.,3545 E AVE NW APT 16,IA,Linn,57.0,57,1.0,CEDAR RAPIDS,52405-3538,,,2022-04-21T00:00:00.000,2023-08-16T00:00:00.000
Inactive,Retail Sales,697509854,,"MAGOUN, CARLETON; CARL H & BARBARA R MAGOUN AGENCY",3700 COURT ST,IA,Woodbury,97.0,97,1.0,SIOUX CITY,51104-1912,,,2005-02-11T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,178013149,,DILLER GREENHOUSES INC,1250 LONGVIEW LOOP,IA,Pottawattamie,78.0,78,1.0,COUNCIL BLUFFS,51503-2435,459310.0,Florists,1977-01-01T00:00:00.000,
Active,Retail Sales,307905110,307905010,"A J O'MARA GROUP LLC, A. J. O'MARA GROUP",815 PARK RIDGE PL,IA,Woodbury,97.0,97,2.0,MOVILLE,51039-7538,423820.0,Farm and Garden Machinery and Equipment Merchant Wholesalers,2023-02-01T00:00:00.000,
Inactive,Retail Sales,188005745,9197,"REGIS CORP, SMARTSTYLE 1245",612 NEW YORK AVE,IA,Union,0.0,88,1.0,CRESTON,50801-3310,8121.0,Personal Care Services,2005-04-13T00:00:00.000,2020-12-01T00:00:00.000
Active,Retail Sales,152017695,8665,"GWK ENTERPRISES INC, FOUR SEASONS #V",1670 SYCAMORE ST,IA,Johnson,0.0,52,1.0,IOWA CITY,52240-6044,458110.0,Clothing and Clothing Accessories Retailers,1999-07-01T00:00:00.000,
Inactive,Retail Sales,664510295,,"MTOWN WESTOWN LLLP, MTOWN/WESTOWN, LLLP",1916 KNOLLWOOD DR,IA,Marshall,64.0,64,1.0,MARSHALLTOWN,50158-3875,531110.0,Lessors of Residential Buildings and Dwellings,2005-07-12T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,806389,S00044905,ROLF C HAGEN USA CORP,305 FORBES BLVD,MA,,0.0,0,,MANSFIELD,02048-1805,4539.0,Other Miscellaneous Store Retailers,2012-12-01T00:00:00.000,
Inactive,Retail Sales,119005261,,PHILLIPS MODERN AG SERVICES INC,2153 S LINN AVE,IA,Chickasaw,19.0,19,1.0,NEW HAMPTON,50659-9414,237210.0,Land Subdivision,2012-02-01T00:00:00.000,2023-12-31T00:00:00.000
Inactive,Retail Sales,601514574,,"WRIGHT, VICKIE J; WRIGHT,VICKIE J",2156 IOWA ST,IA,Adair,1.0,1,1.0,GREENFIELD,50849-0000,,,2008-11-19T00:00:00.000,2021-11-11T00:00:00.000
Inactive,Remote Sales,600524773,600524773,METRO TITLE SERVICES,8215 MELROSE DR STE 200,KS,,0.0,0,,LENEXA,66214-1617,,,2020-01-01T00:00:00.000,2021-11-11T00:00:00.000
Active,Retail Sales,308204827,308204827,MARTELLI ENTERPRISES INC,5450 N W ST,FL,,0.0,0,,PENSACOLA,32505-2461,459999.0,All Other Miscellaneous Retailers,2025-09-01T00:00:00.000,
Inactive,Remote Sales,200138166,200138166,FIS SHAREHOLDER SYSTEMS LLC,951 MARINERS ISLAND BLVD STE 500,CA,,0.0,0,,SAN MATEO,94404-1589,,,1997-07-01T00:00:00.000,2020-07-31T00:00:00.000
Active,Retail Sales,301104221,301104221,VMS CREATURES & FIDGETS,275 448TH ST,IA,,98.0,98,,LAKE MILLS,50450-8006,,,2023-07-08T00:00:00.000,
Active,Remote Sales,200157387,200157387,"GRAN QUARTZ LP, GRAN QUARTZ",455 SATELLITE BLVD NW,GA,,0.0,0,,SUWANEE,30024-2196,,,2008-05-29T00:00:00.000,
Active,Retail Sales,307401421,307401421,BURNING LEAVES IOWA LLC,931 GARFIELD ST BLDG N/A,IA,Sioux,84.0,84,11.0,GRANVILLE,51022-5034,111219.0,Other Vegetable (except Potato) and Melon Farming,2025-09-01T00:00:00.000,
Active,Retail Sales,128006837,,"KOBLISKA, JOSEPH C; SISSYPOP LLC",900 W MAIN ST,IA,Delaware,28.0,28,1.0,MANCHESTER,52057-1505,4539.0,Other Miscellaneous Store Retailers,2021-06-23T00:00:00.000,
Active,Retail Sales,152023536,,"RODNEY, RICHARD; RODNEYS JAMAICAN JERK",1826 HOLLYWOOD BLVD,IA,Johnson,52.0,52,1.0,IOWA CITY,52240-5979,7225.0,Restaurants and Other Eating Places,2012-09-01T00:00:00.000,
Active,Retail Sales,S00104678,S00104678,TCB PROMOTIONS LLC,PO BOX 62,PA,,0.0,0,,SHAWNEE ON DELAWARE,18356-0062,5418.0,"Advertising, Public Relations, and Related Services",2019-02-06T00:00:00.000,
Active,Retail Sales,125016273,,"BROKERTECH VENTURES LLC, BROK",2727 GRAND PRAIRIE PKWY,IA,Dallas,25.0,25,6.0,WAUKEE,50263-8844,5242.0,"Agencies, Brokerages, and Other Insurance Related Activities",2021-01-01T00:00:00.000,
Inactive,Consumer Use,977006452,977006452,EES COMPANIES INC,4000 FAY RD,IA,,77.0,77,,CENTER POINT,52213-9521,,,2008-07-01T00:00:00.000,2019-03-31T00:00:00.000
Active,Retail Sales,100002631,,SHOEBACCA LTD,2205 E PIONEER DR,TX,,0.0,0,,IRVING,75061-8805,4481.0,Clothing Stores,2019-03-01T00:00:00.000,
Inactive,Consumer Use,920000039,920000039,MILLER PRODUCTS COMPANY CORP,1015 N MAIN ST,IA,Clarke,20.0,20,1.0,OSCEOLA,50213-1075,33221.0,Cutlery and Handtool Manufacturing,1990-01-01T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,100012833,,ASCEND TECHNOLOGIES LLC,200 W ADAMS STE 1600,IL,,0.0,0,,CHICAGO,60606-0000,5112.0,Software Publishers,2020-08-01T00:00:00.000,
Inactive,Remote Sales,200179558,200179558,KARL STORZ IMAGING INC,2151 E GRAND AVE,CA,,0.0,0,,EL SEGUNDO,90245-5017,33911.0,Medical Equipment and Supplies Manufacturing,2018-04-01T00:00:00.000,2023-12-31T00:00:00.000
Active,Retail Sales,309705120,309705120,NEWMEL HOLDINGS LLC,705 SW LORRAINE ST,IA,Decatur,27.0,27,2.0,LEON,50144-1079,339992.0,Musical Instrument Manufacturing,2024-01-19T00:00:00.000,
Active,Retail Sales,130006913,,"ELLIS, KEITH F; KEITHS CARPET CLEANING",1306 ITHACA AVE,IA,Dickinson,30.0,30,2.0,SPIRIT LAKE,51360-1339,561740.0,Carpet and Upholstery Cleaning Services,1994-04-01T00:00:00.000,
Inactive,Retail Sales,111008612,362,QC SUPPLY LLC,113 PRAIRIE RD,IA,Buena Vista,0.0,11,1.0,STORM LAKE,50588-2363,423820.0,Farm and Garden Machinery and Equipment Merchant Wholesalers,2013-07-01T00:00:00.000,2021-12-21T00:00:00.000
Active,Remote Sales,200143913,200143913,COVERALL NORTH AMERICA INC,350 SW 12TH AVE,FL,,0.0,0,,DEERFIELD BEACH,33442-3106,,,2000-10-01T00:00:00.000,
Active,Retail Sales,100000429,,"HAMILTONBOOK.COM LLC, HAMILTONBOOK.COM",147 ROUTE 7 S,CT,,82.0,0,,FALLS VILLAGE,06031-1603,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2019-01-01T00:00:00.000,
Active,Retail Sales,301106227,301106127,"MEG NICOLE HAIR DESIGN; LANDHUIS, MEGAN; DIVINE BEAUTY SALON",160 S 68TH ST STE 1104,IA,Dallas,77.0,25,18.0,WEST DES MOINES,50266-8304,812112.0,Beauty Salons,2023-12-01T00:00:00.000,
Active,Retail Sales,308206428,308206428,"MK SQUARED, SKIDZ GRAVEL DRIVEWAYZ",41967 340TH ST,IA,,67.0,67,,DUNLAP,51529-4065,561730.0,Landscaping Services,2025-09-28T00:00:00.000,
Active,Retail Sales,178024494,9602,REDBOX AUTOMATED RETAIL LLC,1202 LOCUST ST,IA,Pottawattamie,0.0,78,3.0,CARTER LAKE,51510-1525,3399.0,Other Miscellaneous Manufacturing,2009-11-13T00:00:00.000,
Active,Retail Sales,178024010,,"JOHNSON, PATTI R; PJ'S CRAFT CREATIONS",15 SO 32 ST,IA,Pottawattamie,78.0,78,1.0,COUNCIL BLUFFS,51503-0000,459120.0,"Hobby, Toy, and Game Retailers",2008-01-03T00:00:00.000,
Active,Retail Sales,115008134,,SPECIAL TS MERCHANDISE,694 MAIN ST,IA,Cass,15.0,15,2.0,ANITA,50020-1065,4539.0,Other Miscellaneous Store Retailers,2017-12-20T00:00:00.000,
Active,Retail Sales,170,170,MNN ENTERPRISES,PO BOX 1,IA,Black Hawk,7.0,7,2.0,CEDAR FALLS,50613-0010,7223.0,Special Food Services,2011-07-01T00:00:00.000,
Active,Retail Sales,192006331,,"SMITH, EZRA J; E-Z SALES & ENGINEERING",1869 HIGHWAY 1,IA,Washington,92.0,92,1.0,WASHINGTON,52353-9259,8111.0,Automotive Repair and Maintenance,1992-04-01T00:00:00.000,
Active,Retail Sales,182041385,,"BP WIND ENERGY NORTH AMERICA INC, BP WIND ENERGY NORTH AMERICA",951 TRAILS RD,IA,Scott,82.0,82,7.0,ELDRIDGE,52748-9339,2211.0,"Electric Power Generation, Transmission and Distribution",2009-05-01T00:00:00.000,
Inactive,Retail Sales,303805416,303805416,"IOWA HOSE COMPANY LLC, PIRTEK CEDAR RAPIDS",350 PARK TER SE,IA,Linn,57.0,57,1.0,CEDAR RAPIDS,52403-2820,811310.0,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main,2022-02-01T00:00:00.000,2022-02-16T00:00:00.000
Active,Retail Sales,308701211,308701211,"A&L SUPPLY LLC, SMOKIN STEEL",PO BOX 266,IA,Montgomery,69.0,69,3.0,STANTON,51573-0266,,,2023-05-15T00:00:00.000,
Active,Retail Sales,182042525,,BI STATE LIGHTING MAINTENANCE,1146 E PRICE ST,IA,Scott,82.0,82,7.0,ELDRIDGE,52748-1710,5419.0,"Other Professional, Scientific, and Technical Services",2011-08-02T00:00:00.000,
Active,Retail Sales,308109424,308504617,"EYE CARE ASSOCIATES OF CO PLLC, ELEVATE EYECARE, BURLINGTON FAMILY EYECARE",3017 WEST AVE,IA,Des Moines,0.0,29,1.0,BURLINGTON,52601-1561,621320.0,Offices of Optometrists,2025-09-22T00:00:00.000,
Active,Retail Sales,301805027,301805027,"DOLE, SEAN",1639 MCBRIDE RD,IA,,61.0,61,,VAN METER,50261-8561,,,2024-02-01T00:00:00.000,
Inactive,Retail Sales,131025672,,"LUNA, ALBERTO J; LUNA,ALBERTO J",1091 UNIVERSITY AVE,IA,Dubuque,31.0,31,1.0,DUBUQUE,52001-6158,7225.0,Restaurants and Other Eating Places,2013-07-12T00:00:00.000,2017-09-29T00:00:00.000
Active,Retail Sales,307804110,307804110,"ALC & CO., LLC",818 S BROADWAY FL 4,CA,,0.0,0,,LOS ANGELES,90014-3224,,,2023-01-01T00:00:00.000,
Active,Retail Sales,182033736,,"MESS, MARK L; MARKS PLACE",218 N 2ND ST,IA,Scott,82.0,82,7.0,ELDRIDGE,52748-1208,54192.0,Photographic Services,1996-01-01T00:00:00.000,
Inactive,Retail Sales,107042234,701,"NEW RUE21 LLC, RUE21 STORE 644",2060 CROSSROADS BLVD SP 233,IA,Black Hawk,0.0,7,1.0,WATERLOO,50702-0000,458110.0,Clothing and Clothing Accessories Retailers,2018-01-01T00:00:00.000,2024-05-31T00:00:00.000
Inactive,Retail Sales,182043213,,"HIVELEY, GALEN J; X-2 ENGINEERING",2931 W 34TH ST APT D,IA,Scott,82.0,82,1.0,DAVENPORT,52806-5105,33911.0,Medical Equipment and Supplies Manufacturing,2013-01-28T00:00:00.000,2021-07-07T00:00:00.000
Inactive,Retail Sales,156015297,,"GINN, ASHLEY; STRUNK,ASHLEY R",2710 AVENUE J,IA,Lee,56.0,56,1.0,FORT MADISON,52627-3815,4481.0,Clothing Stores,2018-09-01T00:00:00.000,2019-08-31T00:00:00.000
Active,Consumer Use,309708024,309708024,"FASTLINE MARKETING GROUP LLC, FAST",PO BOX 248,KY,,0.0,0,,BUCKNER,40010-0248,5111.0,"Newspaper, Periodical, Book, and Directory Publishers",2026-02-03T00:00:00.000,
Active,Retail Sales,304902220,304902120,"ICE MANUFACTURING INC, ICE MFG",801 2ND AVE SE,IA,Fayette,33.0,33,1.0,OELWEIN,50662-3039,3329.0,Other Fabricated Metal Product Manufacturing,2024-01-01T00:00:00.000,
Active,Remote Sales,200113358,200113358,CHRISTENSEN LUMBER INC,714 S MAIN ST,NE,,0.0,0,,FREMONT,68025-6123,,,1975-10-29T00:00:00.000,
Inactive,Retail Sales,150011427,,MR DANS INC,911 S 13TH AVE W,IA,Jasper,50.0,50,1.0,NEWTON,50208-5219,7225.0,Restaurants and Other Eating Places,2003-01-01T00:00:00.000,2021-09-30T00:00:00.000
Inactive,Retail Sales,309906619,306307218,"HERITAGE POOL SUPPLY GROUP INC, ALL IOWA POOL & SUPPLY",1325 HOAK DR,IA,Polk,0.0,77,2.0,WEST DES MOINES,50265-2632,423910.0,Sporting and Recreational Goods and Supplies Merchant Wholesalers,2023-07-31T00:00:00.000,2024-02-20T00:00:00.000
Active,Retail Sales,301403621,301403521,"KAW VALLEY GREENHOUSES, INC; JORDAN CREEK GARDEN CENTER",130 S JORDAN CREEK PKWY,IA,Dallas,0.0,25,18.0,WEST DES MOINES,50266-8141,,,2024-03-01T00:00:00.000,
Active,Retail Sales,117016377,8980,PURINA ANIMAL NUTRITION LLC,1609 19TH ST SW,IA,Cerro Gordo,0.0,17,1.0,MASON CITY,50401-6334,3111.0,Animal Food Manufacturing,2000-11-01T00:00:00.000,
Inactive,Consumer Use,975000410,975000410,B & D SEAMLESS GUTTERS LLC,PO BOX 4532,IA,Plymouth,75.0,75,12.0,SIOUX CITY,51104-4532,2381.0,"Foundation, Structure, and Building Exterior Contractors",2004-12-01T00:00:00.000,2022-06-30T00:00:00.000
Active,Retail Sales,170013699,,"ROSEBROS LLC, ROSEBROS, LLC, ROSE BOWL",1411 GRANDVIEW AVE,IA,Muscatine,70.0,70,1.0,MUSCATINE,52761-1554,713950.0,Bowling Centers,2015-02-13T00:00:00.000,
Active,Retail Sales,100010279,,"COUPA SOFTWARE INC & SUBS, COUPA SOFTWARE INC",1855 S GRANT ST,CA,,0.0,0,,SAN MATEO,94402-7016,541519.0,Other Computer Related Services,2020-02-20T00:00:00.000,
Active,Remote Sales,303302612,303302612,"YOUTHFUL BALANCE, LLC",19074 COUNTY ROAD G40,IA,Louisa,58.0,58,8.0,LETTS,52754-9403,,,2022-01-01T00:00:00.000,
Active,Retail Sales,196006656,,"HOLTHAUS, STEVEN J; HOLTHAUS,STEVEN J",1732 125TH ST,IA,Winneshiek,96.0,96,3.0,OSSIAN,52161-8056,4539.0,Other Miscellaneous Store Retailers,2009-03-02T00:00:00.000,
Inactive,Retail Sales,827148,S00182829,STG VENTURES LLC,861 ZIMMERMAN RD,WA,,0.0,0,,YAKIMA,98908-8808,441227.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",2020-08-27T00:00:00.000,2021-08-31T00:00:00.000
